Date,TotalSamplesTested,TestsEveryday,TotalPositiveCases,Increase per day
18-03-2020,13125,,150,
19-03-2020,14175,1050,182,27
20-03-2020,15404,1229,236,32
21-03-2020,16911,1507,315,79
22-03-2020,18127,1216,396,81
23-03-2020,20707,2580,471,75
24-03-2020,22694,1987,536,65
25-03-2020,25144,2450,581,45
27-03-2020,27688,2544,716,135
28-03-2020,31520,3832,873,157
29-03-2020,35223,3703,1024,151
30-03-2020,38442,3219,1251,227
31-03-2020,42788,4346,1397,146
01-04-2020,47951,5163,1843,446
02-04-2020,55851,7900,2069,398
03-04-2020,66000,10149,2547,478
04-04-2020,79950,13950,3072,525
05-04-2020,89534,9584,3577,505
06-04-2020,101068,11534,4281,704
07-04-2020,114015,12947,4589,472
